system,task,components,observed_us,margin,C_ms,T_ms,D_ms,prio,U,R_ms,OK
leader,L_tick,L1 tick-producer iter,426.200,2.000,0.852400,250.000,250.000,6,0.00340960,6.049400,YES
leader,L_fsm,L2 FSM per-event,1316.800,2.000,2.633600,250.000,250.000,3,0.01053440,2.633600,YES
leader,L_send,L3 send one cmd,1081.600,2.000,2.163200,250.000,250.000,4,0.00865280,4.796800,YES
leader,L_rx,L4 rx msg->event,133.400,3.000,0.400200,250.000,250.000,5,0.00160080,5.197000,YES
follower,F_emergency,F4 UDP msg->event+F5 EVT_EMERGENCY,1305.700,3.000,3.418500,50.000,50.000,1,0.06837000,3.418500,YES
follower,F_watchdog,F2 watchdog iter,161.100,2.000,0.322200,100.000,100.000,2,0.00322200,3.740700,YES
follower,F_timeout_fsm,F5 EVT_LEADER_TIMEOUT,288.800,3.000,0.866400,100.000,100.000,2,0.00866400,4.607100,YES
follower,F_cruise,F3 TCP msg->event+F5 EVT_CRUISE_CMD,735.600,2.000,1.471200,250.000,250.000,5,0.00588480,6.078300,YES
follower,F_distance,F4 UDP msg->event+F5 EVT_DISTANCE,640.900,2.000,1.281800,250.000,250.000,5,0.00512720,7.360100,YES
follower,F_physics,F1 physics iter,631.500,2.000,1.263000,250.000,250.000,8,0.00505200,8.623100,YES
